image_name,group_id,y_coord,x_coord,fold,y_true,y_pred,y_prob,correct
O013490.npz,2,2,84,1,1,0,0.26641678205016245,0
O013490.npz,2,2,85,1,1,0,0.19749455636859825,0
O013490.npz,2,2,86,1,1,0,0.04817582650722826,0
O013490.npz,2,2,87,1,1,0,0.2683456917056552,0
O013490.npz,2,2,88,1,1,0,0.4602584226437399,0
O013490.npz,2,2,89,1,1,0,0.11460723336173727,0
O013490.npz,2,2,90,1,1,0,0.016873242812388445,0
O013490.npz,2,2,91,1,1,0,0.018640938243845384,0
O013490.npz,2,2,92,1,1,0,0.015772793398107266,0
O013490.npz,2,2,93,1,1,0,0.03984611281099385,0
O013490.npz,2,2,94,1,1,0,0.32424354110276105,0
O013490.npz,2,2,101,1,1,0,0.12873380868151238,0
O013490.npz,2,2,102,1,1,0,0.05050345313830068,0
O013490.npz,2,2,103,1,1,0,0.34316202511132526,0
O013490.npz,2,2,104,1,1,0,0.44673495508223376,0
O013490.npz,2,2,105,1,1,0,0.4484585967916238,0
O013490.npz,2,2,106,1,1,0,0.35289062215222067,0
O013490.npz,2,2,128,1,1,0,0.1431030111698979,0
O013490.npz,2,2,129,1,1,0,0.017416020484460545,0
O013490.npz,2,2,130,1,1,0,0.007571277924128011,0
O013490.npz,2,2,131,1,1,0,0.023493077755964327,0
O013490.npz,2,2,132,1,1,0,0.026240565245552995,0
O013490.npz,2,2,133,1,1,0,0.027917523864171748,0
O013490.npz,2,2,134,1,1,0,0.016606886185913043,0
O013490.npz,2,2,135,1,1,0,0.019280544221231474,0
O013490.npz,2,2,136,1,1,0,0.008677975544634913,0
O013490.npz,2,2,137,1,1,0,0.008579535197507076,0
O013490.npz,2,2,138,1,1,0,0.04195297743588663,0
O013490.npz,2,2,139,1,1,0,0.041896773548292784,0
O013490.npz,2,2,140,1,1,0,0.016113964894416112,0
O013490.npz,2,2,141,1,1,0,0.008919712797809298,0
O013490.npz,2,2,142,1,1,0,0.011265436308239691,0
O013490.npz,2,2,143,1,1,0,0.14688278148983022,0
O013490.npz,2,2,144,1,1,0,0.4424809676925214,0
O013490.npz,2,2,168,1,1,0,0.1280787431633139,0
O013490.npz,2,2,169,1,1,0,0.08875311590550908,0
O013490.npz,2,2,170,1,1,0,0.053061044109224284,0
O013490.npz,2,2,171,1,1,0,0.22622217022704322,0
O013490.npz,2,2,208,1,1,0,0.41853194171884706,0
O013490.npz,2,2,209,1,1,0,0.058873660413228585,0
O013490.npz,2,2,210,1,1,0,0.05518561539688686,0
O013490.npz,2,2,211,1,1,0,0.12888657678456902,0
O013490.npz,2,2,243,1,0,1,0.6188142887767761,0
O013490.npz,2,2,244,1,0,1,0.535449673069395,0
O013490.npz,2,2,245,1,0,1,0.9461343273923555,0
O013490.npz,2,2,246,1,0,1,0.9107494146136763,0
O013490.npz,2,2,247,1,0,1,0.8770544380605326,0
O013490.npz,2,2,248,1,0,1,0.9401826891918025,0
O013490.npz,2,2,249,1,0,1,0.95052745031005,0
O013490.npz,2,2,250,1,0,1,0.9447041531421578,0
O013490.npz,2,2,251,1,0,1,0.9506268447300388,0
O013490.npz,2,2,252,1,0,1,0.925123813471122,0
O013490.npz,2,2,253,1,0,1,0.8982024365359808,0
O013490.npz,2,2,254,1,0,1,0.8852717227992875,0
O013490.npz,2,2,255,1,0,1,0.8814660708447665,0
O013490.npz,2,2,256,1,0,1,0.8956951562459753,0
O013490.npz,2,2,257,1,0,1,0.895355070293405,0
O013490.npz,2,2,258,1,0,1,0.9137344133539852,0
O013490.npz,2,2,259,1,0,1,0.937439560655771,0
O013490.npz,2,2,260,1,0,1,0.9088525975007701,0
O013490.npz,2,2,261,1,0,1,0.8519580557304464,0
O013490.npz,2,2,262,1,0,1,0.8087317553701115,0
O013490.npz,2,2,263,1,0,1,0.8076107025797096,0
O013490.npz,2,2,264,1,0,1,0.8798936637256033,0
O013490.npz,2,2,265,1,0,1,0.7067083121409147,0
O013490.npz,2,2,266,1,0,1,0.7829748376337908,0
O013490.npz,2,2,267,1,0,1,0.752314817899145,0
O013490.npz,2,2,271,1,0,1,0.9137868307126895,0
O013490.npz,2,2,272,1,0,1,0.8883836382953936,0
O013490.npz,2,2,273,1,0,1,0.9049035753324445,0
O013490.npz,2,2,274,1,0,1,0.9431432449043199,0
O013490.npz,2,2,275,1,0,1,0.9363616405940859,0
O013490.npz,2,2,276,1,0,1,0.8774114217534879,0
O013490.npz,2,2,277,1,0,1,0.7941413889840666,0
O013490.npz,2,2,278,1,0,1,0.8614773032866111,0
O013490.npz,2,2,279,1,0,1,0.969814171317677,0
O013490.npz,2,2,280,1,0,1,0.9820545808643499,0
O013490.npz,2,2,281,1,0,1,0.9776089264849117,0
O013490.npz,2,2,282,1,0,1,0.9650999089975196,0
O013490.npz,2,2,283,1,0,1,0.8967809952570445,0
O013490.npz,2,2,284,1,0,1,0.8182678683690352,0
O013490.npz,2,2,285,1,0,1,0.8577002658075488,0
O013490.npz,2,2,286,1,0,1,0.8564688953263917,0
O013490.npz,2,2,287,1,0,1,0.8548488422210018,0
O013490.npz,2,2,288,1,0,1,0.8545499967583599,0
O013490.npz,2,2,289,1,0,1,0.7877013132288011,0
O013490.npz,2,2,290,1,0,1,0.7602049699404552,0
O013490.npz,2,2,291,1,0,1,0.8480131954363044,0
O013490.npz,2,2,292,1,0,1,0.9171847487480591,0
O013490.npz,2,2,293,1,0,1,0.8768701499455119,0
O013490.npz,2,2,294,1,0,1,0.7882442477333428,0
O013490.npz,2,2,295,1,0,1,0.6985377431761355,0
O013490.npz,2,2,296,1,0,1,0.7477794558272621,0
O013490.npz,2,2,297,1,0,1,0.7334902654540683,0
O013490.npz,2,2,298,1,0,1,0.6821919781946146,0
O013490.npz,2,2,299,1,0,1,0.7438331461588854,0
O013490.npz,2,2,300,1,0,1,0.679410235447109,0
O013490.npz,2,2,301,1,0,1,0.6174944555505415,0
O013490.npz,2,2,302,1,0,1,0.6345849266377575,0
O013490.npz,2,2,304,1,0,1,0.5959888421241674,0
O013490.npz,2,2,305,1,0,1,0.5982524123216072,0
O013490.npz,2,2,306,1,0,1,0.6144420929124171,0
O013490.npz,2,2,307,1,0,1,0.5043979812284146,0
O013490.npz,2,2,308,1,0,1,0.7740600397917835,0
O013490.npz,2,2,309,1,0,1,0.8906999527195735,0
O013490.npz,2,2,310,1,0,1,0.5975501901656162,0
O013490.npz,2,2,354,1,0,1,0.5544280319562803,0
O013490.npz,2,2,355,1,0,1,0.617924450427864,0
O013490.npz,2,2,356,1,0,1,0.7803087892704518,0
O013490.npz,2,2,357,1,0,1,0.7697023454216761,0
O013490.npz,2,2,358,1,0,1,0.8019274241629494,0
O013490.npz,2,2,359,1,0,1,0.8935104604733526,0
O013490.npz,2,2,360,1,0,1,0.9248050869083527,0
O013490.npz,2,2,361,1,0,1,0.9667927984956007,0
O013490.npz,2,2,362,1,0,1,0.973637573331656,0
O013490.npz,2,2,363,1,0,1,0.9469260287333294,0
O013490.npz,2,2,365,1,0,1,0.779064185336322,0
O013490.npz,2,2,366,1,0,1,0.7720696704653296,0
O013490.npz,2,2,367,1,0,1,0.9231125714993802,0
O013490.npz,2,3,84,1,1,0,0.24524917362500717,0
O013490.npz,2,3,85,1,1,0,0.2658475915732194,0
O013490.npz,2,3,86,1,1,0,0.15789878219451411,0
O013490.npz,2,3,87,1,1,0,0.46693887160292463,0
O013490.npz,2,3,90,1,1,0,0.14366644367801248,0
O013490.npz,2,3,91,1,1,0,0.05208463920222658,0
O013490.npz,2,3,92,1,1,0,0.05745978660247113,0
O013490.npz,2,3,93,1,1,0,0.03239593973218577,0
O013490.npz,2,3,94,1,1,0,0.331171287603265,0
O013490.npz,2,3,101,1,1,0,0.09165817912874051,0
O013490.npz,2,3,102,1,1,0,0.12778330834739526,0
O013490.npz,2,3,104,1,1,0,0.4990830389074737,0
O013490.npz,2,3,105,1,1,0,0.48590025283187244,0
O013490.npz,2,3,128,1,1,0,0.08044496683794368,0
O013490.npz,2,3,129,1,1,0,0.015534241771753431,0
O013490.npz,2,3,130,1,1,0,0.008265304438260321,0
O013490.npz,2,3,131,1,1,0,0.022923167595998405,0
O013490.npz,2,3,132,1,1,0,0.02381930284579435,0
O013490.npz,2,3,133,1,1,0,0.032450498016278854,0
O013490.npz,2,3,134,1,1,0,0.023455254723568072,0
O013490.npz,2,3,135,1,1,0,0.019396896952362283,0
O013490.npz,2,3,136,1,1,0,0.013311867208023104,0
O013490.npz,2,3,137,1,1,0,0.016003981253401835,0
O013490.npz,2,3,138,1,1,0,0.03176938523121019,0
O013490.npz,2,3,139,1,1,0,0.03353159712684848,0
O013490.npz,2,3,140,1,1,0,0.02124416510528394,0
O013490.npz,2,3,141,1,1,0,0.009553195642995307,0
O013490.npz,2,3,142,1,1,0,0.011401133741866437,0
O013490.npz,2,3,143,1,1,0,0.17672851694435307,0
O013490.npz,2,3,168,1,1,0,0.4186673116878279,0
O013490.npz,2,3,169,1,1,0,0.10088432611305649,0
O013490.npz,2,3,170,1,1,0,0.21610989216678583,0
O013490.npz,2,3,171,1,1,0,0.3002454404177561,0
O013490.npz,2,3,178,1,1,0,0.11231209485797168,0
O013490.npz,2,3,179,1,1,0,0.1624515612516174,0
O013490.npz,2,3,180,1,1,0,0.15970794997127408,0
